ID_Mahasiswa;Gender;IPS_Sem1;IPS_Sem2;IPS_Sem3;IPS_Sem4;Total_SKS_Ambil;Total_SKS_Lulus;Nilai_Matkul_Killer;Jml_Mengulang;Status_Beasiswa;Bekerja;Label_Lulus
MHS001;0;2.724.882.755.418.020;32.577.165.362.252.000;32.369.304.168.724.100;36.842.250.616.328.700;144;134;4;4;1;1;1
MHS002;1;27.586.906.017.759.900;3.082.082.409.920.360;3.116.547.619.529.870;305.899.730.617.175;71;44;1;0;1;1;1
MHS003;1;2.0;33.017.206.125.190.600;28.744.780.159.571.100;2.918.066.441.752.610;131;113;4;3;1;0;1
MHS004;0;32.085.055.548.315.800;34.162.309.285.605.700;2.853.300.426.820.660;29.850.807.153.201.200;129;116;2;1;0;1;1
MHS005;0;26.254.617.382.783.200;2.610.808.996.454.550;3.474.421.428.859.500;3.790.425.293.019.510;77;63;3;5;0;1;1
MHS006;1;2.367.440.443.038.670;35.459.961.321.788.300;4.0;35.968.198.621.411.500;123;95;3;1;1;1;1
MHS007;1;3.349.199.470.665.860;29.141.855.823.867.900;2.546.406.709.926.300;3.594.312.863.215.300;147;125;4;0;1;1;1
MHS008;0;2.260.739.004.816.280;26.400.778.958.026.400;2.769.680.614.520.100;35.285.611.131.094.500;129;102;1;0;0;0;1
MHS009;0;26.615.389.998.470.200;3.305.838.144.420.430;35.154.997.612.479.700;34.656.400.595.580.900;102;76;1;1;0;1;1
MHS010;0;2.551.832.408.435.340;2.944.006.089.746.520;3.734.470.642.716.190;24.380.508.327.299.800;106;104;4;5;0;0;1
MHS011;0;3.163.422.611.985.000;29.594.405.229.206.500;3.233.897.376.631.570;3.368.061.175.334.620;83;77;3;0;0;0;0
MHS012;1;3.043.523.534.119.080;28.504.963.247.670.600;3.045.880.388.267.750;2.006.215.542.699.550;92;86;1;2;0;1;1
MHS013;0;28.939.192.891.441.800;27.865.656.029.801.300;32.507.241.657.624.000;35.790.933.264.660.100;75;48;4;3;1;1;1
MHS014;1;2.827.959.729.344.340;33.753.929.427.947.100;28.361.874.083.609.900;25.692.009.728.758.300;131;131;1;0;0;1;1
MHS015;0;3.148.060.138.532.280;31.305.276.360.899.400;30.025.567.283.212.300;28.827.064.333.124.200;78;49;1;0;0;1;1
MHS016;1;26.669.696.898.847.800;2.743.106.254.245.870;31.506.614.004.748.100;22.707.415.395.066.200;121;105;2;0;1;1;1
MHS017;1;299.072.459.774.418;21.632.476.890.048.800;2.463.734.082.782.170;2.503.706.910.298.400;128;112;2;1;1;1;1
MHS018;0;32.388.770.497.167.600;28.704.856.776.305.500;27.126.453.961.933;2.789.250.889.830.050;113;88;4;5;1;0;1
MHS019;1;28.928.377.583.719.000;26.554.028.947.678.700;33.639.165.570.829.300;269.046.531.982.252;138;119;2;5;1;0;1
MHS020;0;2.504.731.837.434.650;2.716.851.135.198.610;3.049.825.682.543.820;27.482.621.729.419.000;128;125;3;1;0;0;1
MHS021;0;26.398.510.035.705.900;28.650.331.154.621.500;29.282.688.851.846.500;3.308.501.887.857.560;108;91;4;0;0;1;1
MHS022;0;2.821.627.487.115.900;32.780.608.992.669.800;3.521.930.305.459.320;3.263.224.080.667.340;129;113;2;0;1;1;1
MHS023;1;35.002.428.038.810.500;307.621.043.112.963;26.993.013.772.141.300;25.766.928.215.676.000;88;73;4;2;1;1;1
MHS024;1;33.088.204.227.555.700;3.608.535.398.490.050;31.131.441.347.494.300;34.237.007.162.883.100;94;66;2;5;1;1;1
MHS025;1;30.753.295.217.416.400;29.921.425.300.737.700;23.349.629.672.426.000;2.987.356.187.214.430;77;71;3;0;1;0;1
MHS026;1;28.773.059.419.985.600;26.231.319.178.212.500;25.552.427.851.872.300;25.920.948.575.172.800;107;102;1;2;1;1;1
MHS027;0;20.318.118.950.076.900;2.576.321.235.943.670;36.822.167.236.601.500;35.860.144.519.022;138;111;1;2;1;0;1
MHS028;1;2.464.553.750.969.440;32.412.362.076.215.900;28.882.686.073.370.700;3.357.000.247.046.040;106;83;1;0;1;0;1
MHS029;0;25.766.031.409.657.900;2.242.576.387.657.060;27.767.425.239.664.800;3.428.199.397.161.730;87;63;2;5;1;0;1
MHS030;1;24.261.400.135.875;36.948.014.140.732.900;25.723.797.405.600.900;24.864.691.205.322.000;86;79;1;0;0;1;1
MHS031;1;209.905.601.549.672;32.338.585.387.490.500;2.224.283.027.954.670;27.447.533.902.112.000;93;81;4;1;0;0;1
MHS032;1;32.854.452.553.465.800;35.677.828.200.902.900;34.770.008.817.466.000;3.325.695.625.652.890;145;127;3;3;1;1;1
MHS033;1;27.573.182.260.854.400;30.409.370.696.931.600;4.0;20.663.674.037.041.200;91;66;2;5;0;1;1
MHS034;1;2.764.034.067.105.280;3.544.475.298.483.680;30.321.400.095.477.300;2.461.127.611.035.340;122;95;4;3;0;0;1
MHS035;1;2.804.299.093.959.080;32.190.112.987.108.300;38.318.848.947.241.200;26.303.817.842.724.400;109;90;4;4;1;1;1
MHS036;1;3.524.009.871.997.470;26.857.151.262.621.400;27.777.506.278.904.000;2.165.433.820.454.730;124;99;1;1;0;1;1
MHS037;0;38.906.455.385.131.800;2.661.292.166.142.620;22.255.856.600.879.500;2.828.435.467.947.950;117;93;4;4;0;0;1
MHS038;1;4.0;3.113.424.410.990.390;38.277.308.126.894.600;2.768.537.288.968.170;136;125;2;2;0;1;1
MHS039;0;26.599.978.329.410.200;28.682.970.775.663.600;28.596.725.623.295.800;2.698.012.040.251.120;131;112;1;3;1;1;1
MHS040;1;2.0;2.487.806.179.332.850;287.371.592.430.342;23.761.084.090.175.700;92;67;2;5;0;1;1
MHS041;1;30.009.068.055.973.300;3.377.967.640.895.820;3.966.771.314.714.990;32.069.374.186.254.000;85;62;4;1;0;1;1
MHS042;1;35.862.178.911.961.200;32.657.000.054.801.600;3.374.552.838.482.160;39.044.784.145.100.800;102;102;1;2;0;0;1
MHS043;1;3.219.663.570.051.710;29.457.510.557.182.400;27.567.836.169.738.100;310.379.913.064.286;77;49;2;1;1;1;1
MHS044;1;29.857.892.712.004.600;21.417.877.770.280.100;2.478.519.303.198.570;3.663.235.834.159.520;144;116;4;3;0;0;1
MHS045;0;2.585.502.494.538.960;27.199.094.799.015.100;3.373.646.802.561.630;33.051.851.327.167.300;118;116;4;3;1;0;1
